camaro	Mazda RX-7 - Free 3D Model By IvOfficial	Creative Commons Attribution	https://poly.pizza/m/SnIoWlh7S2
charger	Dodge Charger - Free 3D Model By David Sirera	Creative Commons Attribution	https://poly.pizza/m/4b80hRVxqvv
challenger	2015 Dodge Challenger - Free 3D Model By Grzybek	Creative Commons Attribution	https://poly.pizza/m/1jB8I4t5w4
corvette	Sports Car - Free 3D Model By Quaternius	Public Domain	https://poly.pizza/m/1mkmFkAz5v
m6	Sportster - Free 3D Model By Chris Tarello	Creative Commons Attribution	https://poly.pizza/m/0CZY9yGxi6Y
918	Convertible - Free 3D Model By Poly by Google	Creative Commons Attribution	https://poly.pizza/m/4P4buLkUIjH
lambo	DREAM FERRARI F40 - Free 3D Model By Alexander Schick	Creative Commons Attribution	https://poly.pizza/m/6-j7kD0viYB
ct6	Rolls Royce - Free 3D Model By David Sirera	Creative Commons Attribution	https://poly.pizza/m/3DtJTlxgO_U
copcar	Police Car - Free 3D Model By Quaternius	Public Domain	https://poly.pizza/m/BwwnUrWGmV
